omic,prob_within,prob_right,prob_left
Clinical,0.143,0.851,0.006
mRNA,0.2039,0.7812,0.0149
Methylation,0.5091,0.1545,0.3364
miRNA,0.5044,0.135,0.3606
CNA,0.0086,1e-4,0.9913
