omic,prob_no_diff,prob_positive_diff,prob_negative_diff
mRNA,0.0651,0.9285,0.0064
Clinical,0.0895,0.8993,0.0112
Methylation,0.3439,0.1433,0.5128
CNA,0.3499,0.1394,0.5107
miRNA,0.1807,0.0336,0.7857
