omic,prob_within,prob_right,prob_left
Clinical,0.9998,1e-4,1e-4
mRNA,0.9996,0,4e-4
miRNA,0.9999,0,1e-4
Methylation,0.9992,0,8e-4
CNA,0.9981,0,0.0019
